이름,전체커밋,코딩커밋,추가라인,삭제라인,순기여,본인MR머지,featureMR,fixMR,fix비율(%),평균커밋크기,revert건수,타인MR머지_리뷰,프레젠테이션집중도(%),blame라인수,blame비율(%),리뷰코멘트작성수,MR승인수,리뷰한MR수,MR받은코멘트수,CI실패율(%)
ㅅㄷㅎ,788,377,76082,54819,21263,184,162,17,9.2,347,1,184,86.3,32258,9.2,99,67,106,196,0.0
ㅇㅎㅈ,958,787,274626,186625,88001,83,36,38,45.8,586,8,83,88.0,77877,22.1,31,25,45,51,0.0
ㄱㅅㅎ,607,359,117818,45826,71992,167,85,34,20.4,455,0,167,78.8,45879,13.0,10,170,254,27,0.0
ㅇㅎㄱ,390,246,46324,22664,23660,56,15,41,73.2,280,0,56,89.4,18457,5.2,94,50,117,191,0.0
ㅊㅈㅇ,851,705,477387,347059,130328,59,32,22,37.3,1169,1,59,84.9,96487,27.4,19,73,120,11,0.0
ㅇㄷㅎ,563,432,171561,31589,139972,64,29,32,50.0,470,0,64,83.7,69987,19.9,8,76,147,43,0.0
ㅂㅈㅇ,192,140,36260,22027,14233,39,39,0,0.0,416,0,39,88.5,7800,2.2,21,104,146,184,0.0
ㅈㅇㅇ,29,23,6936,2565,4371,3,3,0,0.0,413,0,3,85.3,3319,0.9,44,20,36,68,0.0
