이름,전체커밋,코딩커밋,추가라인,삭제라인,순기여,본인MR머지,featureMR,fixMR,fix비율(%),평균커밋크기,revert건수,타인MR머지_리뷰,프레젠테이션집중도(%),blame라인수,blame비율(%),리뷰코멘트작성수,MR승인수,리뷰한MR수,MR받은코멘트수,CI실패율(%)
ㄱㅅㅁ,196,134,91927,35665,56262,5,1,1,20.0,952,1,5,100.0,66015,19.7,278,40,85,236,0.0
ㅁㅅㅇ,245,187,201483,155800,45683,51,32,8,15.7,1910,0,51,100.0,97104,28.9,29,4,28,29,0.0
ㄱㄱㅇ,155,39,96479,15347,81132,94,24,69,73.4,2867,0,94,100.0,18110,5.4,15,23,104,195,0.0
ㅊㅁㄱ,173,126,87010,43503,43507,1,1,0,0.0,1035,1,1,100.0,44909,13.4,35,19,78,189,0.0
ㅂㅅㅎ,106,86,82179,31391,50788,0,0,0,0,1320,1,0,100.0,46170,13.7,38,36,127,497,0.0
ㅂㄴㄹ,53,32,45356,9222,36134,0,0,0,0,1705,0,0,100.0,40215,12.0,0,0,1,89,0.0
ㅇㄱㅎ,4,2,4267,464,3803,0,0,0,0,2365,0,0,100.0,3794,1.1,0,0,0,10,0.0
